Date,Product,Region,Sales,Quantity,Revenue,Cost
2024-01-01,Laptop,North,120000,12,120000,90000
2024-01-01,Mobile,South,90000,30,90000,60000
2024-01-01,Tablet,East,40000,10,40000,35000
2024-01-02,Laptop,West,110000,11,110000,85000
2024-01-02,Mobile,North,95000,32,95000,65000
2024-01-02,Tablet,South,38000,9,38000,42000
2024-01-03,Laptop,East,125000,13,125000,95000
2024-01-03,Mobile,West,88000,29,88000,70000
2024-01-03,Tablet,North,45000,11,45000,36000
2024-01-04,Laptop,South,130000,14,130000,98000
2024-01-04,Mobile,East,92000,31,92000,64000
2024-01-04,Tablet,West,42000,10,42000,39000
2024-01-05,Laptop,North,118000,12,118000,90000
2024-01-05,Mobile,South,97000,33,97000,68000
2024-01-05,Tablet,East,39000,9,39000,41000
2024-01-06,Laptop,West,135000,15,135000,100000
2024-01-06,Mobile,North,102000,35,102000,72000
2024-01-06,Tablet,South,36000,8,36000,45000
2024-01-07,Laptop,East,128000,14,128000,93000
2024-01-07,Mobile,West,89000,28,89000,75000
2024-01-07,Tablet,North,46000,12,46000,38000
2024-01-08,Laptop,South,140000,16,140000,105000
2024-01-08,Mobile,East,96000,34,96000,70000
2024-01-08,Tablet,West,40000,10,40000,43000